fecha,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total,nivel_institucional
2004,351,Prefectura del Departamento de Chuquisaca,0,-1,-1,PROGRAMA CENTRAL,NO DECLARADO,5322400,1868993,244508,0,0,240000,183919,0,0,7859820,PD
2004,351,Prefectura del Departamento de Chuquisaca,1,-1,-1,CONSEJO DEPARTAMENTAL,NO DECLARADO,628560,101500,38500,0,0,0,0,0,0,768560,PD
2004,351,Prefectura del Departamento de Chuquisaca,10,0,1,INFRAESTRUCTURA VIAL,DIRECCION DE INFRAESTRUCTURA,588987,9200,10800,0,0,0,0,0,0,608987,PD
2004,351,Prefectura del Departamento de Chuquisaca,10,1,0,INFRAESTRUCTURA VIAL,MOVIMIENTO DE TIERRAS TARABUCO-MUYUPAMPA,0,0,0,3620638,0,0,0,0,0,3620638,PD
2004,351,Prefectura del Departamento de Chuquisaca,10,2,0,INFRAESTRUCTURA VIAL,MEJORAMIENTO CAMINO TRAMO MUYUPAMPA-IPATI,0,0,0,525500,0,0,0,0,0,525500,PD
2004,351,Prefectura del Departamento de Chuquisaca,10,3,0,INFRAESTRUCTURA VIAL,CONSTRUCCION AEROPUERTO INTERNACIONAL YAMPARAEZ,0,0,0,300500,0,0,0,0,0,300500,PD
2004,351,Prefectura del Departamento de Chuquisaca,10,4,0,INFRAESTRUCTURA VIAL,CONST. TRANSVERSAL J. AZURDUY DE PADILLA (AZURDUY - ABRA POR,0,0,0,3112208,0,0,0,0,0,3112208,PD
2004,351,Prefectura del Departamento de Chuquisaca,10,5,0,INFRAESTRUCTURA VIAL,MEJORAMIENTO VIAL SUCRE Y GM PRINCIPALES,0,0,0,8014036,0,0,0,0,0,8014036,PD
2004,351,Prefectura del Departamento de Chuquisaca,11,1,0,INFRAESTRUCTURA DE ELECTRIFICACION,"INTERCONEXCION ELECTRICA SIST. AISL.HUACARETA,MONTEAGUDO.MUY",0,0,0,5364465,0,0,0,0,0,5364465,PD
2004,351,Prefectura del Departamento de Chuquisaca,11,2,0,INFRAESTRUCTURA DE ELECTRIFICACION,INTERCONEXION ELECTRICA PADILLA - MONTEAGUDO,0,0,0,425150,0,0,0,0,0,425150,PD
