fecha,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total,nivel_institucional
2008,351,Prefectura del Departamento de Chuquisaca,10,0,81,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,PROGRAMA DE HIDROCARBUROS,0,692670,7330,0,0,0,0,0,0,700000,PD
2008,351,Prefectura del Departamento de Chuquisaca,10,3,0,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,MANEJO INTEGRAL CUENCA LA TORRE-LIME,194405,0,44988,1630557,0,0,0,0,0,1869950,PD
2008,351,Prefectura del Departamento de Chuquisaca,10,4,0,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,MANEJO INTEGRAL CUENCA RÍO CHICO,226669,0,30680,1038731,0,0,0,0,0,1296080,PD
2008,351,Prefectura del Departamento de Chuquisaca,10,6,0,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,"MANEJO INTEGRAL CUENCAS ROSAS MAYU, CHALLHUA MAYU Y AGUA DE",0,0,0,810000,0,0,0,0,0,810000,PD
2008,351,Prefectura del Departamento de Chuquisaca,10,7,0,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,MANEJO INTEGRAL BIODIVERSIDAD 4 REGIONES CHUQUISACA,137166,619000,85000,7000,0,0,0,0,0,848166,PD
2008,351,Prefectura del Departamento de Chuquisaca,10,8,0,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,MANEJO CUENCAS EN CUATRO REG. RIO AZERO DPTO. CHUQUISACA,0,0,0,2418200,0,0,0,0,0,2418200,PD
2008,351,Prefectura del Departamento de Chuquisaca,10,9,0,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,FOREST.PRACTICA AGROFORESTAL REGION CHUQUISACA CENTRO,111348,74890,688000,18100,0,0,0,0,0,892338,PD
2008,351,Prefectura del Departamento de Chuquisaca,10,10,0,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,FOREST. PRACTICAS MANEJO AGROFORESTAL REGION LOS CINTIS,59184,74890,688000,18100,0,0,0,0,0,840174,PD
2008,351,Prefectura del Departamento de Chuquisaca,10,11,0,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,FOREST. PRACTICA MANEJO AGROFORESTAL CHACO CHUQUISACA,59184,74890,688000,18100,0,0,0,0,0,840174,PD
2008,351,Prefectura del Departamento de Chuquisaca,10,12,0,CONSERVACION Y PRESERVACION DEL  MEDIO AMBIENTE,FOREST. PRACTICAS MANEJO AGROFORESTAL REG. CHUQUISACA NORTE,59184,74890,688000,18100,0,0,0,0,0,840174,PD
