fecha,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total,nivel_institucional
2006,351,Prefectura del Departamento de Chuquisaca,0,0,1,ADMINISTRACION DEPARTAMENTAL,DESPACHO PREFECTURAL,4899648,2943551,557100,80000,0,0,0,82000,0,8562299,PD
2006,351,Prefectura del Departamento de Chuquisaca,1,0,1,CONCEJO DEPARTAMENTAL,CONCEJO DEPARTAMENTAL,1052250,462900,41600,48720,0,0,0,0,0,1605470,PD
2006,351,Prefectura del Departamento de Chuquisaca,10,0,1,CONSERVACION Y PRESERVACIÓN DEL MEDIO AMBIENTE,DIRECCION DE RR.NN. Y MEDIO AMBIENTE - SUPERVISIÓN Y COORDIN,723354,23500,42300,7200,0,0,0,0,0,796354,PD
2006,351,Prefectura del Departamento de Chuquisaca,10,0,70,CONSERVACION Y PRESERVACIÓN DEL MEDIO AMBIENTE,ORDENAMIENTO TERRITORIAL Y LIMITES,325210,449290,210500,15000,0,0,0,0,0,1000000,PD
2006,351,Prefectura del Departamento de Chuquisaca,10,0,71,CONSERVACION Y PRESERVACIÓN DEL MEDIO AMBIENTE,GESTIÓN AMBIENTAL,0,61000,59000,0,0,0,0,0,0,120000,PD
2006,351,Prefectura del Departamento de Chuquisaca,10,0,80,CONSERVACION Y PRESERVACIÓN DEL MEDIO AMBIENTE,ASUNTOS INDIGENAS Y PUEBLOS ORIGINARIOS,0,122500,92500,20000,0,0,0,0,0,235000,PD
2006,351,Prefectura del Departamento de Chuquisaca,10,1,0,CONSERVACION Y PRESERVACIÓN DEL MEDIO AMBIENTE,"MANEJO INTEGRAL DE CUENCAS RIO PILCOMAYO, RAVELO Y PARAPETI",126614,712600,660786,0,0,0,0,0,0,1500000,PD
2006,351,Prefectura del Departamento de Chuquisaca,10,2,0,CONSERVACION Y PRESERVACIÓN DEL MEDIO AMBIENTE,"MANEJO DE ÁREAS PROTEGIDAS IÑAO, EL PALMAR, CHAPEADAS Y TARA",126614,138368,91418,0,0,0,0,0,0,356400,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,1,0,DESARROLLO DE LA ELECTRIFICACION RURAL,INTERCONEXION ELECTRICA PADILLA - MONTEAGUDO,0,0,0,2138808,0,0,0,0,0,2138808,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,2,0,DESARROLLO DE LA ELECTRIFICACION RURAL,CONST. ELECTRIFICACIÓN PAQUETE DE PROYECTOS RURALES,0,0,0,1794968,0,0,0,0,0,1794968,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,3,0,DESARROLLO DE LA ELECTRIFICACION RURAL,"CONST. LÍNEAS ELÉCTRICAS MT, BT Y PT OROPEZA Y ZUDAÑEZ",0,0,0,81200,0,0,0,0,0,81200,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,4,0,DESARROLLO DE LA ELECTRIFICACION RURAL,"CONST. LÍNEAS ELÉCTRICAS MT, BT Y PT TARVITA-KAPACTALA-TAREA",0,0,0,162400,0,0,0,0,0,162400,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,5,0,DESARROLLO DE LA ELECTRIFICACION RURAL,"CONST. LÍNEAS ELÉCTRICAS MT, BT Y PT KEWIÑAS-SANTA ROSA",0,0,0,1299200,0,0,0,0,0,1299200,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,6,0,DESARROLLO DE LA ELECTRIFICACION RURAL,REPOS. LÍNEA ELÉCTRICA TRIFÁSICA ALCALÁ-LIMABAMBA,0,0,0,544040,0,0,0,0,0,544040,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,7,0,DESARROLLO DE LA ELECTRIFICACION RURAL,REPOS. LÍNEA ELÉCTRICA TRIFÁSICA TIGUIPA-MACHARETÍ,0,0,0,1461600,0,0,0,0,0,1461600,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,8,0,DESARROLLO DE LA ELECTRIFICACION RURAL,"CONST. LÍNEAS ELÉCTRICAS MT, BT Y PT NOR Y SUD CINTI",0,0,0,458780,0,0,0,0,0,458780,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,9,0,DESARROLLO DE LA ELECTRIFICACION RURAL,"CONST. LÍNEAS ELÉCTRICAS MT, BT Y PT CANTÓN FERNÁNDEZ",0,0,0,129920,0,0,0,0,0,129920,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,10,0,DESARROLLO DE LA ELECTRIFICACION RURAL,"CONST. LÍNEAS ELÉCTRICAS MT, BT Y PT HUACAYA-SANTA ROSA",0,0,0,406000,0,0,0,0,0,406000,PD
2006,351,Prefectura del Departamento de Chuquisaca,11,11,0,DESARROLLO DE LA ELECTRIFICACION RURAL,"CONST. LÍNEAS ELÉCTRICAS MT, BT Y  PT S.J. DEL PIRAÍ-R. DEL",0,0,0,86163,0,0,0,0,0,86163,PD
