fecha,nivel_institucional,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total
2023,OE,6,Vicepresidencia del Estado Plurinacional,10,4,1,INVESTIGACIÓN Y DESARROLLO - CENTRO DE INVESTIGACIONES SOCIALES,VIVIR BIEN EN LA POLÍTICA EXTERIOR,0,488097,92390,0,0,0,0,0,0,580487
2023,OE,6,Vicepresidencia del Estado Plurinacional,10,5,0,INVESTIGACIÓN Y DESARROLLO - CENTRO DE INVESTIGACIONES SOCIALES,INVESTIGACIÓN Y DESARROLLO - GESTIÓN LEGISLATIVA,0,902390,5400,0,0,0,0,0,0,907790
2023,OE,6,Vicepresidencia del Estado Plurinacional,10,5,1,INVESTIGACIÓN Y DESARROLLO - CENTRO DE INVESTIGACIONES SOCIALES,GESTIÓN LEGISLATIVA (DGALJ),0,902390,5400,0,0,0,0,0,0,907790
2023,OE,6,Vicepresidencia del Estado Plurinacional,10,6,0,INVESTIGACIÓN Y DESARROLLO - CENTRO DE INVESTIGACIONES SOCIALES,INVESTIGACIÓN Y DESARROLLO - DEMOCRATIZACIÓN DE LA INFORMACIÓN (GEOB),0,487087,8000,0,0,0,0,0,0,495087
2023,OE,6,Vicepresidencia del Estado Plurinacional,10,6,1,INVESTIGACIÓN Y DESARROLLO - CENTRO DE INVESTIGACIONES SOCIALES,DEMOCRATIZACIÓN DE LA INFORMACIÓN,0,487087,8000,0,0,0,0,0,0,495087
2023,OE,6,Vicepresidencia del Estado Plurinacional,90,3,0,,PROMOCIÓN Y POLÍTICAS DE GÉNERO Y PROTECCIÓN SOCIAL - PERSONAS CON DISCAPACIDAD,362634,0,0,0,0,0,0,0,0,362634
2023,OE,6,Vicepresidencia del Estado Plurinacional,90,3,93,,PERSONAS CON DISCAPACIDAD,362634,0,0,0,0,0,0,0,0,362634
2023,OE,10,Ministerio de Relaciones Exteriores,0,0,1,ADMINISTRACIÓN CENTRAL,ASUNTOS  ADMINISTRATIVOS,47004527,13497702,3465155,7584359,0,0,0,0,0,71551743
2023,OE,10,Ministerio de Relaciones Exteriores,0,0,2,ADMINISTRACIÓN CENTRAL,ASUNTOS  JURÍDICOS,0,97272,2728,0,0,0,0,0,0,100000
2023,OE,10,Ministerio de Relaciones Exteriores,0,0,3,ADMINISTRACIÓN CENTRAL,PLANIFICACIÓN,0,70000,0,0,0,0,0,0,0,70000
2023,OE,10,Ministerio de Relaciones Exteriores,0,0,5,ADMINISTRACIÓN CENTRAL,CONTROL POSTERIOR,0,60000,0,0,0,0,0,0,0,60000
2023,OE,10,Ministerio de Relaciones Exteriores,0,0,6,ADMINISTRACIÓN CENTRAL,COMUNICACIÓN SOCIAL,0,32000,0,18000,0,0,0,0,0,50000
