fecha,nivel_institucional,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,4,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,GESTIÓN ADMINISTRATIVA (DGAA),0,4739995,2781672,704920,0,0,0,5880,0,8232467
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,5,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,CONTROL INTERNO (UAI),0,355016,0,0,0,0,0,0,0,355016
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,6,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,PERSONAL VPEP,23787160,0,0,0,0,0,0,0,0,23787160
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,7,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,PLANIFICACIÓN Y PROYECTOS (DGP),0,400714,14075,0,0,0,0,0,0,414789
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,8,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,DIRECCIÓN DE LA GESTIÓN VICEPRESIDENCIAL (SG),0,502709,34348,0,0,0,0,0,0,537057
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,9,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,COORDINACIÓN LA GESTIÓN VICEPRESIDENCIAL (JG),0,1037604,85000,0,0,0,0,0,0,1122604
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,10,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,ESTRATEGIA COMUNICACIONAL (UC),0,907247,3700,0,0,0,0,0,0,910947
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,11,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,ASESORAMIENTO LEGAL (DGALJ - UJ),0,203422,0,0,0,0,0,0,0,203422
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,14,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,GESTIÓN DE BIBLIOTECAS Y ARCHIVOS DE LA VPEP Y ALP,0,469517,16500,0,0,0,0,0,0,486017
2025,OE,6,Vicepresidencia del Estado Plurinacional,0,0,99,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,PARTICIPACIÓN Y CONTROL SOCIAL,0,66440,13400,0,0,0,0,0,0,79840
2025,OE,6,Vicepresidencia del Estado Plurinacional,10,0,1,INVESTIGACIÓN Y DESARROLLO - CENTRO DE INVESTIGACIONES SOCIALES,OBRAS DEL BICENTENARIO BBB,0,3678219,73855,23000,0,0,0,0,0,3775074
