fecha,nivel_institucional,entidad_id,entidad_nombre,programa,proyecto,actividad,categoria,descripcion,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,4,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,GESTIÓN ADMINISTRATIVA (DGAA),0,3602360,2638808,1132452,0,0,0,5625,1500,7380745
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,5,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,CONTROL INTERNO (UAI),0,451317,0,0,0,0,0,0,0,451317
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,6,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,PERSONAL VPEP,22965655,0,0,0,0,0,0,0,0,22965655
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,7,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,PLANIFICACIÓN Y PROYECTOS (DGP),0,57340,18622,0,0,0,0,0,0,75962
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,8,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,DIRECCIÓN DE LA GESTIÓN VICEPRESIDENCIAL (SG),0,410111,35000,0,0,0,0,0,0,445111
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,9,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,COORDINACIÓN LA GESTIÓN VICEPRESIDENCIAL (JG),0,1272500,90096,0,0,0,0,0,0,1362596
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,10,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,ESTRATEGIA COMUNICACIONAL (UC),0,1063664,26742,0,0,0,0,0,0,1090406
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,11,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,ASESORAMIENTO LEGAL (DGALJ - UJ),0,304736,1000,0,0,0,0,0,0,305736
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,14,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,GESTIÓN DE BIBLIOTECAS Y ARCHIVOS DE LA VPEP Y ALP,0,507819,32200,0,0,0,0,0,0,540019
2024,OE,6,Vicepresidencia del Estado Plurinacional,0,0,99,GESTIÓN ADMINISTRATIVA EFICIENTE Y TRANSPARENTE,PARTICIPACIÓN Y CONTROL SOCIAL,0,65440,14400,0,0,0,0,0,0,79840
